ID,NOME_CIENTIFICO,NOME_POPULAR
6620,Enterolobium schomburgkii (Benth.) Benth.,Cambuí-sucupira
6621,Enterolobium schomburgkii (Benth.) Benth.,Fava-bolota
6623,Enterolobium schomburgkii (Benth.) Benth.,Fava-dura
6624,Enterolobium schomburgkii (Benth.) Benth.,Fava-grande
6625,Enterolobium schomburgkii (Benth.) Benth.,Fava-orelha-de-macaco
6626,Enterolobium schomburgkii (Benth.) Benth.,Fava-orelha-de-negro
6628,Enterolobium schomburgkii (Benth.) Benth.,Faveca
6629,Enterolobium schomburgkii (Benth.) Benth.,Faveira-bolota
6630,Enterolobium schomburgkii (Benth.) Benth.,Faveira-dura
6631,Enterolobium schomburgkii (Benth.) Benth.,Faveira-grande
6632,Enterolobium schomburgkii (Benth.) Benth.,Faveira-uingue
6634,Enterolobium schomburgkii (Benth.) Benth.,Monjoleiro-da-amazônia
6635,Enterolobium schomburgkii (Benth.) Benth.,Orelha-de-gato
6636,Enterolobium schomburgkii (Benth.) Benth.,Orelha-de-macaco
6637,Enterolobium schomburgkii (Benth.) Benth.,Orelha-de-negro
6639,Enterolobium schomburgkii (Benth.) Benth.,Paricarana
6640,Enterolobium schomburgkii (Benth.) Benth.,Prequiceira
6641,Enterolobium schomburgkii (Benth.) Benth.,Sucupira-amarela
6642,Enterolobium schomburgkii (Benth.) Benth.,Tamboril
6644,Enterolobium schomburgkii (Benth.) Benth.,Timbaúba
6645,Enterolobium schomburgkii (Benth.) Benth.,Timbó-da-mata
6646,Enterolobium schomburgkii (Benth.) Benth.,Timboíba
6647,Enterolobium schomburgkii (Benth.) Benth.,Timborana
6648,Enterolobium schomburgkii (Benth.) Benth.,Timburi
6650,Enterolobium sp.,Fava-timbaúba
6651,Enterolobium sp,Timbori
6652,Enterolobium sp.,Timbaúba
6653,Enterolobium timbouva Mart.,
6654,Eperua bijuga Mart. ex Benth.,Cacao
6656,Eperua bijuga Mart. ex Benth.,Espadeira
6657,Eperua bijuga Mart. ex Benth.,Ipê
6658,Eperua falcata Aubl.,Apá
6659,Eperua falcata Aubl.,Apazeiro
6661,Eperua falcata Aubl.,Espadeira
6662,Eperua falcata Aubl.,Vouapa
6664,Eperua jenmani Oliv.,Ituri
6665,Eperua leucantha Benth.,Iauácano
6666,Eperua leucantha Benth.,Jauácano
6668,Eperua oleifera Ducke,Jacaré-copaíba
6669,Eperua purpurea Benth.,Copaibarana
6670,Eperua purpurea Benth.,Coubarã
6671,Eperua purpurea Benth.,Jebaro
6672,Eperua purpurea Benth.,Lébaro
6673,Eperua schomburgkiana Benth.,Muirapiranga
6674,Eperua sp.,Apá
6675,Eperua sp.,Apazeiro
6676,Eperua sp.,Copaibarana
6677,Eperua sp.,Espadeira
6678,Eperua sp.,Muirapiranga
6679,Eremanthus glomerulatus Less.,(sem nome comum)
6680,Eremanthus incanus Less.,Pau-de-candeia
6681,Eremoluma,
6682,Eremoluma williamii Aubr. & PelLegrand,Abiurana
6683,Eriobotrya japonica Lindl.,Ameixa-amarela
6684,Eriobotrya japonica Lindl.,Ameixa-do-canadá
6685,Eriobotrya japonica Lindl.,Ameixa-do-japão
6686,Eriobotrya japonica Lindl.,Ameixa-japonesa
6687,Eriodendron,
6688,Eriodendron anfractuosum DC.,Barriguda
6689,Eriodendron anfractuosum DC.,Paina-de-seda
6690,Eriodendron anfractuosum DC.,Pina-lisa
6691,Eriodendron anfractuosum DC.,Samauveira
6692,Eriotheca candolleana (K.Schum.) A.Robyns,Catuaba
6693,Eriotheca candolleana (K.Schum.) A.Robyns,Catuaba-branca
6694,Eriotheca candolleana (K.Schum.) A.Robyns,Embiruçu
6695,Eriotheca candolleana (K.Schum.) A.Robyns,Paineira
6696,Eriotheca gracilipes (K.Schum.) A.Robyns,Bingueiro
6697,Eriotheca gracilipes (K.Schum.) A.Robyns,Binguinha
6698,Eriotheca gracilipes (K.Schum.) A.Robyns,Embira
6699,Eriotheca gracilipes (K.Schum.) A.Robyns,Embira-de-folhas-lisas
6700,Eriotheca gracilipes (K.Schum.) A.Robyns,Embiru
6701,Eriotheca gracilipes (K.Schum.) A.Robyns,Embiruçu
6702,Eriotheca gracilipes (K.Schum.) A.Robyns,Mamoninho
6703,Eriotheca gracilipes (K.Schum.) A.Robyns,Mamorana
6704,Eriotheca gracilipes (K.Schum.) A.Robyns,Paina
6705,Eriotheca gracilipes (K.Schum.) A.Robyns,Paineira
6706,Eriotheca gracilipes (K.Schum.) A.Robyns,Paineira-do-campo
6707,Eriotheca longipedicellata (Ducke) A.Robyns,Mamorana-da-terra-firme
6708,Eriotheca longipedicellata (Ducke) A.Robyns,Munguba-grande-da-terra-firme
6709,Eriotheca longipedicellata (Ducke) A.Robyns,Sumaúma
6710,Eriotheca longipedicellata (Ducke) A.Robyns,Sumaúma-da-terra-firme
6711,Eriotheca longipedicellata (Ducke) A.Robyns,Sumaúma-vermelha
6712,Eriotheca macrophylla (K.Schum.) A.Robyns,Embiruçu
6714,Eriotheca pentaphylla (Vell.) A.Robyns,Embiruçu-branco
6715,Eriotheca pentaphylla (Vell.) A.Robyns,Paineira
6716,Eriotheca pubescens Schott & Endl.,Colher-de-vaqueiro
6717,Eriotheca pubescens Schott & Endl.,Embiruçu
6719,Eriotheca pubescens Schott & Endl.,Paineira
6720,Eriotheca pubescens Schott & Endl.,Paineira-do-cerrado
6721,Erisma bicolor Ducke,(sem nome comum)
6722,Erisma calcaratum (Link) Warm.,Bruto
6723,Erisma calcaratum (Link) Warm.,Cachimbo-de-jabuti
6725,Erisma calcaratum (Link) Warm.,Caferana
6726,Erisma calcaratum (Link) Warm.,Caramaru
6727,Erisma calcaratum (Link) Warm.,Caramuru
6729,Erisma calcaratum (Link) Warm.,Guaruba-de-flores-roxas
6730,Erisma calcaratum (Link) Warm.,Guaruba-vermelha
6731,Erisma calcaratum (Link) Warm.,Jabuti
6733,Erisma calcaratum (Link) Warm.,Jabuti-branco
